FIRSTNAME,LASTNAME,BIRTHDAY,UNIVERSITY,,,
Zion,Craft,10/14/1992,Ateneo De Manila University,,,
Ayaan,Mullins,3/31/1996,Ateneo De Manila University,,,
Marisol,Graham,2/26/1995,Ateneo De Manila University,,,
Titus,Chavez,8/4/1993,Ateneo De Manila University,,,
Giancarlo,Sutton,8/13/1997,Ateneo De Manila University,,,
Sebastian,Sandoval,2/25/1996,Ateneo De Manila University,,,
Mustafa,Adams,1/3/1994,Ateneo De Manila University,,,
Logan,Simon,7/30/1997,Ateneo De Manila University,,,
Raquel,Koch,12/28/1997,Ateneo De Manila University,,,
Hugo,Gomez,6/17/1995,Ateneo De Manila University,,,
Colin,Farrell,4/19/1992,Ateneo De Manila University,,,
Yahir,Conley,5/4/1995,Ateneo De Manila University,,,
Cali,Stout,1/10/1998,Ateneo De Manila University,,,
Enzo,Pierce,10/29/1994,Ateneo De Manila University,,,
Malia,Goff,7/19/1992,Ateneo De Manila University,,,
Myles,Palmer,5/16/1997,Ateneo De Manila University,,,
Briella,Montoya,1/7/1996,Ateneo De Manila University,,,
Alessandro,Macias,3/5/1993,Ateneo De Manila University,,,
Malcolm,Crosby,5/24/1994,Ateneo De Manila University,,,
Makayla,Andrews,8/13/1997,Ateneo De Manila University,,,
Kody,Nash,12/17/1995,Ateneo De Manila University,,,
Aidan,Anthony,5/9/1993,Ateneo De Manila University,,,
Brenden,Jenkins,10/8/1992,Ateneo De Manila University,,,
Leo,Guy,4/10/1992,Ateneo De Manila University,,,
Simon,Wilder,4/6/1997,Ateneo De Manila University,,,
Haven,Blake,5/19/1992,Ateneo De Manila University,,,
Jasmin,Dotson,4/21/1998,Ateneo De Manila University,,,
Otto,Farley,3/9/1994,Ateneo De Manila University,,,
Nathanael,Frederick,8/5/1994,Ateneo De Manila University,,,
Emersyn,Roman,3/25/1998,Ateneo De Manila University,,,
Sarahi,Compton,8/7/1995,Ateneo De Manila University,,,
Steve,Burt,10/31/1994,Ateneo De Manila University,,,
Coleman,Stark,8/22/1997,Ateneo De Manila University,,,
Mason,Blevins,7/10/1997,Ateneo De Manila University,,,
Ayanna,Mcknight,12/6/1994,Ateneo De Manila University,,,
Cole,Kent,5/12/1993,Ateneo De Manila University,,,
Jordyn,Madden,5/29/1993,Ateneo De Manila University,,,
Adelaide,Nelson,7/26/1996,Ateneo De Manila University,,,
Kinsey,England,8/17/1997,Ateneo De Manila University,,,
Ashlynn,Dillon,12/16/1992,Ateneo De Manila University,,,
Marissa,Bright,9/5/1993,Ateneo De Manila University,,,
Paisley,Carpenter,6/30/1994,Ateneo De Manila University,,,
Aliyah,Carrillo,6/1/1993,Ateneo De Manila University,,,
Ishaan,Hodges,5/25/1995,Ateneo De Manila University,,,
Brody,Carroll,7/20/1995,Ateneo De Manila University,,,
Holly,Mccray,9/7/1995,Ateneo De Manila University,,,
Delilah,Lynch,3/30/1994,Ateneo De Manila University,,,
Rayna,Roman,1/23/1995,Ateneo De Manila University,,,
Payten,Wilkins,9/4/1994,Ateneo De Manila University,,,
Amari,Owen,12/12/1994,Ateneo De Manila University,,,
Dennis,Warren,10/14/1996,Ateneo De Manila University,,,
Paityn,Wilcox,12/16/1996,Ateneo De Manila University,,,
Jaydin,Whitehead,7/14/1992,Ateneo De Manila University,,,
Rowen,Hurley,7/1/1992,Ateneo De Manila University,,,
Emely,Mcgowan,1/4/1995,Ateneo De Manila University,,,
Alexis,Shaffer,11/12/1997,Ateneo De Manila University,,,
Jaylyn,Delacruz,7/29/1996,Ateneo De Manila University,,,
Kaelynn,Garza,5/10/1996,Ateneo De Manila University,,,
Leanna,Fernandez,1/27/1992,Ateneo De Manila University,,,
Elena,Vaughn,6/6/1996,Ateneo De Manila University,,,
Gia,Benjamin,1/1/1995,Ateneo De Manila University,,,
Natalie,Parsons,1/8/1992,Ateneo De Manila University,,,
Vivienne,Jennings,7/12/1994,Ateneo De Manila University,,,
Kayden,Smith,12/15/1998,Ateneo De Manila University,,,
Lylah,Wilder,3/19/1995,Ateneo De Manila University,,,
Jaxson,Sloan,2/20/1993,Ateneo De Manila University,,,
Roy,Grimes,8/12/1993,Ateneo De Manila University,,,
Bradyn,Jacobs,11/5/1993,Ateneo De Manila University,,,
Abdiel,Holden,3/21/1997,Ateneo De Manila University,,,
Cecelia,Mcknight,4/24/1996,Ateneo De Manila University,,,
Lucy,Foster,7/19/1995,Ateneo De Manila University,,,
Bradley,Golden,1/29/1998,Ateneo De Manila University,,,
Jordynn,Wilcox,12/3/1998,Ateneo De Manila University,,,
Jaylynn,Sawyer,11/17/1995,Ateneo De Manila University,,,
Franco,Baker,3/30/1992,Ateneo De Manila University,,,
Zaiden,Frye,8/9/1996,Ateneo De Manila University,,,
Kason,Vaughan,11/1/1994,Ateneo De Manila University,,,
Kaya,Jacobs,6/21/1996,Ateneo De Manila University,,,
Kolby,Mckenzie,4/22/1993,Ateneo De Manila University,,,
Aydan,Phelps,1/7/1995,Ateneo De Manila University,,,
Salvador,Valdez,5/31/1992,Ateneo De Manila University,,,
Alisson,Livingston,7/14/1998,Ateneo De Manila University,,,
Evelynn,Gay,6/24/1994,Ateneo De Manila University,,,
Haven,Fulton,9/18/1993,Ateneo De Manila University,,,
Noah,Wade,1/15/1994,Ateneo De Manila University,,,
Bridger,Alvarado,9/2/1998,Ateneo De Manila University,,,
Gloria,Maldonado,12/7/1996,Ateneo De Manila University,,,
Layton,Sherman,2/8/1994,Ateneo De Manila University,,,
Malia,Harper,9/16/1994,Ateneo De Manila University,,,
Desmond,Williams,8/3/1992,Ateneo De Manila University,,,
Jamison,Martin,11/17/1994,Ateneo De Manila University,,,
Anya,Stuart,8/8/1993,Ateneo De Manila University,,,
Alden,Franco,2/17/1993,Ateneo De Manila University,,,
Draven,Workman,3/8/1993,Ateneo De Manila University,,,
Armani,Deleon,10/15/1993,Ateneo De Manila University,,,
Sean,Cannon,4/12/1993,Ateneo De Manila University,,,
Paige,Owen,9/5/1992,Ateneo De Manila University,,,
Madelyn,Jacobs,12/15/1994,Ateneo De Manila University,,,
Kasen,Hyde,4/4/1992,Ateneo De Manila University,,,
Tristian,Ballard,12/21/1998,Ateneo De Manila University,,,
Casey,Daugherty,1/3/1998,Ateneo De Manila University,,,
Stacy,Stevens,9/14/1998,Ateneo De Manila University,,,
Ishaan,Robertson,8/4/1992,Ateneo De Manila University,,,
Abbey,Todd,11/28/1995,Ateneo De Manila University,,,
Mollie,Craig,3/2/1998,Ateneo De Manila University,,,
Robert,Ball,1/17/1996,Ateneo De Manila University,,,
Rey,Barker,9/1/1995,Ateneo De Manila University,,,
Brynlee,Jarvis,6/17/1995,Ateneo De Manila University,,,
Fiona,Duncan,11/21/1996,Ateneo De Manila University,,,
Edgar,Gibson,11/23/1995,Ateneo De Manila University,,,
Scarlet,Patterson,12/22/1998,Ateneo De Manila University,,,
Lina,Mays,4/13/1997,Ateneo De Manila University,,,
Annie,Cantu,6/11/1997,Ateneo De Manila University,,,
Lylah,Carney,7/17/1994,Ateneo De Manila University,,,
Paisley,Owens,9/30/1998,Ateneo De Manila University,,,
Maxx,Craft,3/1/1998,Ateneo De Manila University,,,
Camden,Short,10/19/1995,Ateneo De Manila University,,,
Joe,Morgan,4/8/1993,Ateneo De Manila University,,,
Lorenzo,Kirk,6/4/1993,Ateneo De Manila University,,,
Tyler,Lara,6/19/1998,Ateneo De Manila University,,,
Damon,Leon,7/23/1992,Ateneo De Manila University,,,
Coen,Oneill,12/4/1998,Ateneo De Manila University,,,
Joyce,Cortez,1/30/1995,Ateneo De Manila University,,,
Darwin,Davenport,6/30/1992,Ateneo De Manila University,,,
Ayleen,Elliott,4/6/1996,Ateneo De Manila University,,,
Yosef,Atkins,7/1/1996,Ateneo De Manila University,,,
Cooper,Church,12/4/1997,Ateneo De Manila University,,,
Andres,Yang,12/8/1994,Ateneo De Manila University,,,
Kendra,Dalton,10/22/1993,Ateneo De Manila University,,,
Clara,Suarez,3/18/1997,Ateneo De Manila University,,,
Harley,Conley,7/30/1992,Ateneo De Manila University,,,
Samir,Hansen,7/24/1993,Ateneo De Manila University,,,
Leo,Kerr,9/8/1993,Ateneo De Manila University,,,
John,Faulkner,2/26/1997,Ateneo De Manila University,,,
Matilda,Baird,11/8/1993,Ateneo De Manila University,,,
Cristian,Mcmahon,4/8/1993,Ateneo De Manila University,,,
Deborah,Williamson,2/8/1998,Ateneo De Manila University,,,
Jayde,Church,8/28/1995,Ateneo De Manila University,,,
Zayden,Leach,10/28/1996,Ateneo De Manila University,,,
Lainey,Maddox,3/22/1994,Ateneo De Manila University,,,
Lucille,Harrington,5/26/1998,Ateneo De Manila University,,,
Bristol,Cox,1/3/1998,Ateneo De Manila University,,,
Case,Booth,10/5/1995,Ateneo De Manila University,,,
Alvin,Dean,6/18/1993,Ateneo De Manila University,,,
Keenan,Salazar,2/21/1992,Ateneo De Manila University,,,
Kamari,Ferrell,10/14/1992,Ateneo De Manila University,,,
Rory,Coleman,3/5/1994,Ateneo De Manila University,,,
Kimber,Hampton,10/15/1996,Ateneo De Manila University,,,
Zander,Becker,7/21/1994,Ateneo De Manila University,,,
Tatum,Avila,7/15/1993,Ateneo De Manila University,,,
Messiah,Reeves,4/11/1996,Ateneo De Manila University,,,
Gilbert,Reynolds,2/23/1995,Ateneo De Manila University,,,
Pierre,Crane,8/5/1995,Ateneo De Manila University,,,
Audrianna,Knight,10/19/1995,Ateneo De Manila University,,,
Eliseo,Jordan,8/9/1995,Ateneo De Manila University,,,
Penelope,Pate,6/28/1992,Ateneo De Manila University,,,
Kendal,Rogers,10/27/1998,Ateneo De Manila University,,,
Jackson,Gilliam,1/24/1995,Ateneo De Manila University,,,
Jasmin,Blackburn,10/12/1993,Ateneo De Manila University,,,
Aleena,Rodriguez,12/24/1994,Ateneo De Manila University,,,
Jermaine,Schultz,5/21/1995,Ateneo De Manila University,,,
Julie,Weber,10/14/1995,Ateneo De Manila University,,,
Kylah,Oneal,1/17/1996,Ateneo De Manila University,,,
Zion,Puckett,2/8/1995,Ateneo De Manila University,,,
Kamden,Lynn,9/14/1995,Ateneo De Manila University,,,
Jaden,Blevins,11/9/1994,Ateneo De Manila University,,,
Jay,Hodge,7/3/1997,Ateneo De Manila University,,,
Kendal,Mcfadden,11/27/1992,Ateneo De Manila University,,,
Mallory,Branch,12/8/1994,Ateneo De Manila University,,,
Saniyah,Dickerson,2/14/1993,Ateneo De Manila University,,,
Brendan,Hays,6/11/1998,Ateneo De Manila University,,,
Cooper,Meyers,6/26/1992,Ateneo De Manila University,,,
Renee,Perez,5/26/1993,Ateneo De Manila University,,,
Dallas,Barnes,4/20/1993,Ateneo De Manila University,,,
Annabella,Livingston,5/1/1993,Ateneo De Manila University,,,
Jeffery,Delgado,10/11/1998,Ateneo De Manila University,,,
Katie,Buckley,8/6/1997,Ateneo De Manila University,,,
Blake,Harvey,4/20/1994,Ateneo De Manila University,,,
Zaniyah,Dodson,4/16/1995,Ateneo De Manila University,,,
Madeline,Jennings,3/10/1992,Ateneo De Manila University,,,
Bridger,Holden,2/11/1996,Ateneo De Manila University,,,
Leigha,Foreman,10/12/1996,Ateneo De Manila University,,,
Dawson,Collins,4/21/1997,Ateneo De Manila University,,,
Kyla,Graham,10/29/1998,Ateneo De Manila University,,,
Kendal,Mason,5/25/1994,Ateneo De Manila University,,,
Bradley,Avila,1/22/1995,Ateneo De Manila University,,,
Maximus,Ashley,3/23/1993,Ateneo De Manila University,,,
Brooklynn,Cantu,11/9/1996,Ateneo De Manila University,,,
Luke,Watson,1/27/1992,Ateneo De Manila University,,,
Millie,Mathews,6/10/1992,Ateneo De Manila University,,,
Zachery,Carpenter,2/2/1994,Ateneo De Manila University,,,
Dario,Long,7/31/1995,Ateneo De Manila University,,,
Liliana,Carson,12/3/1998,Ateneo De Manila University,,,
Rowan,Decker,9/11/1995,Ateneo De Manila University,,,
Regan,Stein,2/18/1995,Ateneo De Manila University,,,
Diya,Hewitt,10/1/1992,Ateneo De Manila University,,,
Anderson,Bruce,2/5/1998,Ateneo De Manila University,,,
Camren,Bradley,12/19/1992,Ateneo De Manila University,,,
Kaitlynn,Greene,9/25/1997,Ateneo De Manila University,,,
Davon,Powell,7/31/1994,Ateneo De Manila University,,,
Connor,Head,12/6/1992,Ateneo De Manila University,,,
Cooper,Ayers,10/3/1992,Ateneo De Manila University,,,
Evelynn,Roman,10/4/1995,Ateneo De Manila University,,,
Maya,Parrish,7/15/1998,Ateneo De Manila University,,,
Carley,Peters,1/19/1994,Ateneo De Manila University,,,
Kenley,Mercado,12/29/1998,Ateneo De Manila University,,,
Makayla,Reyes,11/29/1994,Ateneo De Manila University,,,
Kyson,Hawkins,4/30/1992,Ateneo De Manila University,,,
Tyrone,Harding,8/6/1995,Ateneo De Manila University,,,
Santiago,Morrison,10/2/1993,Ateneo De Manila University,,,
Brendon,Ortega,5/28/1998,Ateneo De Manila University,,,
Aubri,Byers,11/10/1996,Ateneo De Manila University,,,
Marissa,Larson,1/31/1998,Ateneo De Manila University,,,
Raven,Burgess,3/30/1998,Ateneo De Manila University,,,
Micah,Pollard,1/3/1998,Ateneo De Manila University,,,
Caylee,Heath,8/20/1994,Ateneo De Manila University,,,
Emelia,Sawyer,5/10/1992,Ateneo De Manila University,,,
Charles,Alvarez,9/6/1996,Ateneo De Manila University,,,
Brendon,Alvarado,10/2/1998,Ateneo De Manila University,,,
Leanna,Duffy,3/28/1997,Ateneo De Manila University,,,
Sabrina,Green,10/25/1996,Ateneo De Manila University,,,
Violet,Glass,7/2/1994,Ateneo De Manila University,,,
Kamden,Oliver,1/24/1998,Ateneo De Manila University,,,
Siena,Frost,5/26/1994,Ateneo De Manila University,,,
Skylar,Preston,12/2/1997,Ateneo De Manila University,,,
Raymond,Morin,11/2/1995,Ateneo De Manila University,,,
Samson,Carlson,6/7/1995,Ateneo De Manila University,,,
Bryce,Bowers,1/4/1994,Ateneo De Manila University,,,
Kimberly,Chambers,3/18/1997,Ateneo De Manila University,,,
Phoenix,Allen,8/22/1995,Ateneo De Manila University,,,
Brynlee,Nielsen,8/9/1994,Ateneo De Manila University,,,
Noemi,Wilkins,9/3/1998,Ateneo De Manila University,,,
Emily,Whitaker,4/17/1998,Ateneo De Manila University,,,
Brooke,Drake,5/13/1994,Ateneo De Manila University,,,
Thaddeus,Patrick,6/30/1997,Ateneo De Manila University,,,
Cannon,Brock,4/27/1992,Ateneo De Manila University,,,
Ciara,Alexander,11/11/1994,Ateneo De Manila University,,,
Drew,Reeves,4/20/1996,Ateneo De Manila University,,,
Aleah,Brewer,6/10/1992,Ateneo De Manila University,,,
Sariyah,Coffey,12/30/1996,Ateneo De Manila University,,,
Camden,Harris,12/3/1996,Ateneo De Manila University,,,
Lilianna,Madden,11/9/1993,Ateneo De Manila University,,,
Terry,Marks,1/21/1997,Ateneo De Manila University,,,
Lance,Contreras,3/24/1993,Ateneo De Manila University,,,
Cecelia,Sanford,5/2/1997,Ateneo De Manila University,,,
Maleah,Yang,3/26/1996,Ateneo De Manila University,,,
Drake,Jacobson,2/11/1998,Ateneo De Manila University,,,
Sarah,Fisher,1/17/1992,Ateneo De Manila University,,,
Braylee,Stout,4/17/1993,Ateneo De Manila University,,,
Juliana,Kelly,6/18/1998,Ateneo De Manila University,,,
Blaze,Workman,10/16/1998,Ateneo De Manila University,,,
Lewis,Todd,8/16/1998,Ateneo De Manila University,,,
Hank,Campbell,7/17/1996,Ateneo De Manila University,,,
Pablo,Payne,11/2/1997,Ateneo De Manila University,,,
Edith,Miranda,3/17/1995,Ateneo De Manila University,,,
Randall,Yang,2/7/1996,Ateneo De Manila University,,,
Lilia,Rosa,7/19/1997,Ateneo De Manila University,,,
Jessie,Robertson,4/29/1993,Ateneo De Manila University,,,
Scarlet,Griffith,5/17/1992,Ateneo De Manila University,,,
Kayden,Fox,2/27/1992,Ateneo De Manila University,,,
Sincere,Payne,2/14/1993,Ateneo De Manila University,,,
Luka,Farrell,12/27/1997,Ateneo De Manila University,,,
Darius,Neal,4/4/1992,Ateneo De Manila University,,,
Miller,Torres,5/21/1997,Ateneo De Manila University,,,
Jazlynn,Daniel,2/11/1997,Ateneo De Manila University,,,
Jerimiah,Donaldson,5/29/1994,Ateneo De Manila University,,,
Justus,Cote,11/21/1995,Ateneo De Manila University,,,
Quinton,Carlson,11/21/1992,Ateneo De Manila University,,,
Jorden,Compton,6/25/1994,Ateneo De Manila University,,,
Kieran,Cooke,3/6/1993,Ateneo De Manila University,,,
Jeremy,Williamson,12/8/1997,Ateneo De Manila University,,,
Jaden,Clark,12/17/1998,Ateneo De Manila University,,,
America,Gonzales,5/5/1998,Ateneo De Manila University,,,
Tanner,Nelson,2/20/1995,Ateneo De Manila University,,,
Melissa,Mccoy,3/20/1995,Ateneo De Manila University,,,
Emanuel,Jones,1/26/1995,Ateneo De Manila University,,,
Aria,Villarreal,11/27/1998,Ateneo De Manila University,,,
Cedric,Velazquez,10/31/1996,Ateneo De Manila University,,,
Derrick,Sweet,3/25/1998,Ateneo De Manila University,,,
Joshua,Boone,10/3/1992,Ateneo De Manila University,,,
Chanel,Saunders,7/8/1994,Ateneo De Manila University,,,
Reagan,Griffith,9/28/1994,Ateneo De Manila University,,,
Jovanni,Hendricks,1/17/1997,Ateneo De Manila University,,,
Sebastian,Kramer,9/19/1994,Ateneo De Manila University,,,
Miguel,Henson,4/2/1998,Ateneo De Manila University,,,
Finley,England,7/31/1996,Ateneo De Manila University,,,
Alison,Bernard,6/12/1993,Ateneo De Manila University,,,
Cali,Maynard,7/12/1997,Ateneo De Manila University,,,
Tia,Brooks,8/5/1992,Ateneo De Manila University,,,
Muhammad,Becker,11/14/1994,Ateneo De Manila University,,,
Miriam,Gentry,7/24/1992,Ateneo De Manila University,,,
Lincoln,Richmond,2/26/1994,Ateneo De Manila University,,,
Reid,Sweeney,11/20/1994,Ateneo De Manila University,,,
Gia,Abbott,4/28/1997,Ateneo De Manila University,,,
Denise,Roberts,2/6/1996,Ateneo De Manila University,,,
Lacey,Fleming,5/4/1992,Ateneo De Manila University,,,
Imani,Logan,9/11/1995,Ateneo De Manila University,,,
Kellan,Holloway,11/23/1994,Ateneo De Manila University,,,
Rosalie,Duke,11/6/1993,Ateneo De Manila University,,,
Crystal,Tillman,5/20/1992,Ateneo De Manila University,,,
Lamar,Middleton,7/30/1992,Ateneo De Manila University,,,
Kyson,Hale,8/5/1997,Ateneo De Manila University,,,
Karson,Sweet,10/8/1997,Ateneo De Manila University,,,
Hayden,Walters,3/28/1998,Ateneo De Manila University,,,
Charli,Buckner,11/10/1995,Ateneo De Manila University,,,
Aubri,Tran,9/22/1994,Ateneo De Manila University,,,
Gavyn,Mcgee,8/11/1992,Ateneo De Manila University,,,
Temperance,Prince,8/7/1998,Ateneo De Manila University,,,
Cameron,Riddle,9/23/1993,Ateneo De Manila University,,,
Alexander,Hurst,9/10/1998,Ateneo De Manila University,,,
Briley,Miller,6/13/1996,Ateneo De Manila University,,,
Cecilia,Duncan,12/5/1996,Ateneo De Manila University,,,
Malaya,Osborn,1/26/1995,Ateneo De Manila University,,,
Bronson,Long,6/25/1992,Ateneo De Manila University,,,
Draven,Dodson,8/24/1992,Ateneo De Manila University,,,
Jenny,Hood,3/28/1992,Ateneo De Manila University,,,
Royce,Cardenas,2/4/1997,Ateneo De Manila University,,,
Gage,Sloan,8/22/1994,Ateneo De Manila University,,,
Zion,Zamora,10/15/1997,Ateneo De Manila University,,,
Jacob,Moreno,10/1/1996,Ateneo De Manila University,,,
Jaydin,Stout,3/9/1996,Ateneo De Manila University,,,
Willow,Grant,9/6/1992,Ateneo De Manila University,,,
Cohen,Marshall,7/3/1994,Ateneo De Manila University,,,
Larry,Floyd,9/30/1994,Ateneo De Manila University,,,
Tatum,Chandler,7/11/1995,Ateneo De Manila University,,,
Layton,Park,2/15/1992,Ateneo De Manila University,,,
Brendan,Hendricks,10/5/1997,Ateneo De Manila University,,,
Maximiliano,Cochran,6/26/1995,Ateneo De Manila University,,,
Cesar,Lowery,3/21/1998,Ateneo De Manila University,,,
Bryleigh,Bryant,1/1/1997,Ateneo De Manila University,,,
Leia,Medina,5/15/1996,Ateneo De Manila University,,,
Urijah,Hurley,2/27/1993,Ateneo De Manila University,,,
Darien,Ramos,6/17/1993,Ateneo De Manila University,,,
Matthias,Thomas,7/28/1996,Ateneo De Manila University,,,
Kadence,Murray,3/27/1996,Ateneo De Manila University,,,
Miguel,Stevenson,8/28/1998,Ateneo De Manila University,,,
Ray,Little,11/14/1995,Ateneo De Manila University,,,
Mae,Acevedo,9/18/1998,Ateneo De Manila University,,,
Theodore,Wells,10/9/1994,Ateneo De Manila University,,,
Abraham,Munoz,7/7/1995,Ateneo De Manila University,,,
Gaige,Gibson,11/25/1993,Ateneo De Manila University,,,
Selah,Nixon,12/29/1993,Ateneo De Manila University,,,
Kade,Roth,12/9/1995,Ateneo De Manila University,,,
Heath,Barton,1/7/1992,Ateneo De Manila University,,,
Julien,Berry,2/22/1997,Ateneo De Manila University,,,
Weston,Strong,7/28/1996,Ateneo De Manila University,,,
Tristin,Livingston,8/22/1998,Ateneo De Manila University,,,
Milagros,Nixon,8/6/1995,Ateneo De Manila University,,,
Brycen,Kane,7/16/1992,Ateneo De Manila University,,,
Lukas,Colon,10/14/1994,Ateneo De Manila University,,,
Janae,Chaney,3/23/1996,Ateneo De Manila University,,,
Kamari,Weber,1/8/1996,Ateneo De Manila University,,,
Enoch,Bauer,4/30/1997,Ateneo De Manila University,,,
Jayde,Yang,2/25/1997,Ateneo De Manila University,,,
Xzavier,Tanner,7/26/1992,Ateneo De Manila University,,,
Diana,Clemons,9/3/1996,Ateneo De Manila University,,,
Todd,Dixon,4/22/1993,Ateneo De Manila University,,,
Malia,Hurst,5/4/1994,Ateneo De Manila University,,,
Brendon,Mcmillan,10/16/1993,Ateneo De Manila University,,,
Camila,Sargent,10/19/1995,Ateneo De Manila University,,,
Brooke,Church,4/22/1996,Ateneo De Manila University,,,
Brian,Finley,9/16/1998,Ateneo De Manila University,,,
Aliza,Whitley,10/15/1998,Ateneo De Manila University,,,
Manuel,Black,9/2/1995,Ateneo De Manila University,,,
Dakota,Carr,11/20/1997,Ateneo De Manila University,,,
Lea,Allison,3/3/1993,Ateneo De Manila University,,,
Hadassah,Jimenez,9/12/1993,Ateneo De Manila University,,,
Laylah,Hodges,6/13/1997,Ateneo De Manila University,,,
Sam,Freeman,3/16/1998,Ateneo De Manila University,,,
Alyssa,Pace,5/29/1997,Ateneo De Manila University,,,
Ronan,Willis,4/17/1995,Ateneo De Manila University,,,
Haiden,Haney,7/15/1995,Ateneo De Manila University,,,
Jared,Barron,2/21/1993,Ateneo De Manila University,,,
Alvaro,Downs,1/15/1994,Ateneo De Manila University,,,
Amani,Harmon,6/5/1996,Ateneo De Manila University,,,
Carson,Nielsen,1/18/1998,Ateneo De Manila University,,,
Xander,Lindsey,6/15/1995,Ateneo De Manila University,,,
Adele,Noel,4/1/1998,Ateneo De Manila University,,,
Maxx,Foley,1/8/1997,Ateneo De Manila University,,,
Haven,William,12/6/1996,Ateneo De Manila University,,,
Alexandra,Donovan,12/16/1997,Ateneo De Manila University,,,
Heidi,George,8/30/1997,Ateneo De Manila University,,,
Aimee,Norris,4/29/1997,Ateneo De Manila University,,,
Kellen,Medina,10/4/1998,Ateneo De Manila University,,,
Ashtyn,Merritt,9/29/1998,Ateneo De Manila University,,,
Chanel,Raymond,4/8/1992,Ateneo De Manila University,,,
Kaia,Skinner,2/22/1992,Ateneo De Manila University,,,
Isabella,Foster,8/24/1997,Ateneo De Manila University,,,
Sherlyn,Oneil,8/9/1995,Ateneo De Manila University,,,
Armani,Byrd,7/7/1996,Ateneo De Manila University,,,
Lily,Padilla,12/14/1996,Ateneo De Manila University,,,
Preston,Hernandez,5/31/1994,Ateneo De Manila University,,,
Savanna,Holt,9/11/1994,Ateneo De Manila University,,,
Jacob,Fitzgerald,6/19/1995,Ateneo De Manila University,,,
Moses,Graham,11/20/1993,Ateneo De Manila University,,,
